Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.776352058960475;0.656329138196341;0.557992061433584;0.591958672959278;0.669577011226599;0.484107561824025;0.671048653247309;0.0982217069652955;0.305018672558839;0.0235654411297884;0.205715914105451;0.579023370039139;0.511132829354221;0.542743576104166;0.438337590316645;0.2799146490085;0.0660469266918816;0.657701025324682;0.58980060494998;0.236079846308566;0.263984371749675;0.274169367539264;-0.0364456063807285;;
Retrosplenial area (R);0.776352058960475;1;0.60062077948146;0.535087098235873;0.58591484972487;0.613552417340608;0.451496943528097;0.633780724860673;0.0760446971124995;0.266560346524677;0.10456115280771;0.302095991074103;0.594499305232003;0.459925513897129;0.487777215402371;0.454025756292232;0.216068225284312;0.14824623735415;0.6235557646012;0.601745561478355;0.271787847382108;0.289977855597373;0.278118492012699;0.0359297508635073;;
Visual areas (L);0.656329138196341;0.60062077948146;1;0.559924022839415;0.649178493101982;0.665080522564122;0.487335625149385;0.599241370082754;0.123141474114485;0.299416900273879;0.110586066129347;0.108867292395812;0.563663852636394;0.472599432770118;0.447839243248043;0.352216325209135;0.110833863800117;0.0550153552244701;0.573014405578711;0.532691655385115;0.274422149235465;0.168773274851098;0.260846189935275;-0.017566166287983;;
Visual areas (R);0.557992061433584;0.535087098235873;0.559924022839415;1;0.517719320087249;0.516668226898217;0.434787168828182;0.470865387028018;0.00675236452106499;0.174613142575768;0.103530356550078;0.120145007334239;0.23674940417973;0.272362260075857;0.375913966081413;0.245412972033334;0.186780644470253;-0.0239568784075203;0.462979807387846;0.413712393639149;0.174320252626162;0.372035169717356;0.255270033901896;0.0219968872554811;;
Posterior parietal association areas (L);0.591958672959278;0.58591484972487;0.649178493101982;0.517719320087249;1;0.647988615912738;0.495266524445794;0.620978080213437;0.00876804454827565;0.244456787505832;0.120423874435544;0.157301652233421;0.57086267927539;0.553098045874282;0.43155817291688;0.297750741572839;0.154064471621469;0.025803957110235;0.540169553558498;0.553868584345494;0.223747691577785;0.186572837167346;0.0746266459273867;-0.0795678324479003;;
Posterior parietal association areas (R);0.669577011226599;0.613552417340608;0.665080522564122;0.516668226898217;0.647988615912738;1;0.441177037051249;0.623610426730771;0.024817241307846;0.219999585387734;0.0508703084978123;0.124109979153152;0.637948695686839;0.485757708553748;0.482347843695125;0.342553408951776;0.186206916423259;-0.00795104395297333;0.627737162274644;0.606562623195788;0.140159827925052;0.163086209196118;0.252958020292801;-0.0719966775982767;;
Auditory areas (L);0.484107561824025;0.451496943528097;0.487335625149385;0.434787168828182;0.495266524445794;0.441177037051249;1;0.448269636022989;0.143993304547751;0.244045241432761;-0.0983401915696335;-0.0147400062208655;0.251808216573566;0.282071706851199;0.258854252297007;0.175944657096623;0.000110398918342339;0.0683306620428704;0.334647217837709;0.361250682364143;0.224267505707496;0.107559960660185;0.21641135073954;0.093768804465153;;
Auditory areas (R);0.671048653247309;0.633780724860673;0.599241370082754;0.470865387028018;0.620978080213437;0.623610426730771;0.448269636022989;1;0.0336323383154601;0.330567089747227;-0.00141300616133452;0.160541086557947;0.573629267589004;0.472826843561119;0.443532798977818;0.445776975713955;0.206638459037312;0.199361553002812;0.559022506131315;0.604772760803434;0.234432891858492;0.230612367771797;0.152133927055694;-0.02932151389857;;
Temporal association areas (L);0.0982217069652955;0.0760446971124995;0.123141474114485;0.00675236452106499;0.00876804454827565;0.024817241307846;0.143993304547751;0.0336323383154601;1;0.00306860435447827;0.117191055137551;0.0986728625284123;-0.0128060198550856;0.0278111030657153;0.114653616600977;0.169216655909807;-0.0842642220128896;0.0280914520852445;0.113985847993106;0.0669588397937068;-0.0644453548868853;0.123786964312039;0.108020253509859;-0.0859789708048201;;
Temporal association areas (R);0.305018672558839;0.266560346524677;0.299416900273879;0.174613142575768;0.244456787505832;0.219999585387734;0.244045241432761;0.330567089747227;0.00306860435447827;1;-0.0352871800120575;0.0723190398664755;0.339743190948185;0.212216989546854;0.337860687474846;0.15211020586574;-0.028993907519563;0.110734664904334;0.237080125586839;0.276852101392924;0.18497112669669;0.174319199178018;0.0192500883719115;0.0265431651226837;;
Entorhinal area (L);0.0235654411297884;0.10456115280771;0.110586066129347;0.103530356550078;0.120423874435544;0.0508703084978123;-0.0983401915696335;-0.00141300616133452;0.117191055137551;-0.0352871800120575;1;0.182105618374523;-0.0480589586328427;0.104362338705522;0.108592111911888;0.122605768805758;0.214734162212916;0.167110216158251;0.129580450661067;0.0583546006618939;-0.00399499472478121;0.12232308624225;0.0583486483324611;-0.0763655558865992;;
Entorhinal area (R);0.205715914105451;0.302095991074103;0.108867292395812;0.120145007334239;0.157301652233421;0.124109979153152;-0.0147400062208655;0.160541086557947;0.0986728625284123;0.0723190398664755;0.182105618374523;1;0.231148962574832;0.125315741411854;0.508646219954279;0.579599230180748;0.232331558271221;0.226055648087319;0.501867380565658;0.485270846973645;0.0912636698070809;0.295760116109009;0.157086760581658;-0.01799598726651;;
Olfactory areas (L);0.579023370039139;0.594499305232003;0.563663852636394;0.23674940417973;0.57086267927539;0.637948695686839;0.251808216573566;0.573629267589004;-0.0128060198550856;0.339743190948185;-0.0480589586328427;0.231148962574832;1;0.561877307388141;0.475906623175697;0.402391181655326;0.186011409525142;0.0919832650598593;0.602740912554624;0.62339032546668;0.161625293216085;0.0319809112784955;0.141086837160907;-0.105165106088657;;
Olfactory areas (R);0.511132829354221;0.459925513897129;0.472599432770118;0.272362260075857;0.553098045874282;0.485757708553748;0.282071706851199;0.472826843561119;0.0278111030657153;0.212216989546854;0.104362338705522;0.125315741411854;0.561877307388141;1;0.361372533120087;0.351867280212778;0.134147050225198;0.171381209156365;0.540670985782087;0.567447879364992;0.0080926880636719;0.0809300716977927;-0.0720960700025734;-0.162443435937392;;
Dentate gyrus (L);0.542743576104166;0.487777215402371;0.447839243248043;0.375913966081413;0.43155817291688;0.482347843695125;0.258854252297007;0.443532798977818;0.114653616600977;0.337860687474846;0.108592111911888;0.508646219954279;0.475906623175697;0.361372533120087;1;0.639277100079739;0.386545584742245;0.177614644279963;0.674184586507612;0.695172234705074;0.184997421396293;0.27388623794528;0.230128199980612;0.0270098701560115;;
Dentate gyrus (R);0.438337590316645;0.454025756292232;0.352216325209135;0.245412972033334;0.297750741572839;0.342553408951776;0.175944657096623;0.445776975713955;0.169216655909807;0.15211020586574;0.122605768805758;0.579599230180748;0.402391181655326;0.351867280212778;0.639277100079739;1;0.341587188749623;0.271758403142598;0.66996340784461;0.716402829928727;0.345726937434302;0.315633760454081;0.184420729406871;0.0230702871085966;;
Subiculum (L);0.2799146490085;0.216068225284312;0.110833863800117;0.186780644470253;0.154064471621469;0.186206916423259;0.000110398918342339;0.206638459037312;-0.0842642220128896;-0.028993907519563;0.214734162212916;0.232331558271221;0.186011409525142;0.134147050225198;0.386545584742245;0.341587188749623;1;-0.039785655914381;0.343816330759696;0.320137166011973;0.197196831648478;0.125670840577712;-0.00496028000922893;-0.00903224855413206;;
Subiculum (R);0.0660469266918816;0.14824623735415;0.0550153552244701;-0.0239568784075203;0.025803957110235;-0.00795104395297333;0.0683306620428704;0.199361553002812;0.0280914520852445;0.110734664904334;0.167110216158251;0.226055648087319;0.0919832650598593;0.171381209156365;0.177614644279963;0.271758403142598;-0.039785655914381;1;0.219962018852079;0.24451529477298;0.0515229795405823;0.0347311856739314;-0.00943062401962992;-0.0122297063686951;;
Dorsal hippocampus (L);0.657701025324682;0.6235557646012;0.573014405578711;0.462979807387846;0.540169553558498;0.627737162274644;0.334647217837709;0.559022506131315;0.113985847993106;0.237080125586839;0.129580450661067;0.501867380565658;0.602740912554624;0.540670985782087;0.674184586507612;0.66996340784461;0.343816330759696;0.219962018852079;1;0.801221858047813;0.228891182590306;0.343298772083261;0.250897256030764;-0.0846240199394345;;
Dorsal hippocampus (R);0.58980060494998;0.601745561478355;0.532691655385115;0.413712393639149;0.553868584345494;0.606562623195788;0.361250682364143;0.604772760803434;0.0669588397937068;0.276852101392924;0.0583546006618939;0.485270846973645;0.62339032546668;0.567447879364992;0.695172234705074;0.716402829928727;0.320137166011973;0.24451529477298;0.801221858047813;1;0.225543484017331;0.201791415707446;0.198882927922309;-0.0768764260839838;;
Ventral hippocampus (L);0.236079846308566;0.271787847382108;0.274422149235465;0.174320252626162;0.223747691577785;0.140159827925052;0.224267505707496;0.234432891858492;-0.0644453548868853;0.18497112669669;-0.00399499472478121;0.0912636698070809;0.161625293216085;0.0080926880636719;0.184997421396293;0.345726937434302;0.197196831648478;0.0515229795405823;0.228891182590306;0.225543484017331;1;0.202040606733522;0.195237502398725;0.0313243079624992;;
Ventral hippocampus (R);0.263984371749675;0.289977855597373;0.168773274851098;0.372035169717356;0.186572837167346;0.163086209196118;0.107559960660185;0.230612367771797;0.123786964312039;0.174319199178018;0.12232308624225;0.295760116109009;0.0319809112784955;0.0809300716977927;0.27388623794528;0.315633760454081;0.125670840577712;0.0347311856739314;0.343298772083261;0.201791415707446;0.202040606733522;1;0.16469404871384;0.0795949203096098;;
Substantia nigra, reticular part (L);0.274169367539264;0.278118492012699;0.260846189935275;0.255270033901896;0.0746266459273867;0.252958020292801;0.21641135073954;0.152133927055694;0.108020253509859;0.0192500883719115;0.0583486483324611;0.157086760581658;0.141086837160907;-0.0720960700025734;0.230128199980612;0.184420729406871;-0.00496028000922893;-0.00943062401962992;0.250897256030764;0.198882927922309;0.195237502398725;0.16469404871384;1;0.0984050520905869;;
Substantia nigra, reticular part (R);-0.0364456063807285;0.0359297508635073;-0.017566166287983;0.0219968872554811;-0.0795678324479003;-0.0719966775982767;0.093768804465153;-0.02932151389857;-0.0859789708048201;0.0265431651226837;-0.0763655558865992;-0.01799598726651;-0.105165106088657;-0.162443435937392;0.0270098701560115;0.0230702871085966;-0.00903224855413206;-0.0122297063686951;-0.0846240199394345;-0.0768764260839838;0.0313243079624992;0.0795949203096098;0.0984050520905869;1;;
Substantia nigra, compact part (L);;;;;;;;;;;;;;;;;;;;;;;;;;
